교과,학년군,성취기준코드,평가요소,상,중,하
수학,1-2학년군,[2수01-04],수와 연산-네 자리 이하의 수,"수 감각을 바탕으로 하나의 수를 여러 가지 경우의 두 수로 가르고, 두 수를 하나의 수로 모을 수 있다.","수 감각을 바탕으로 하나의 수를 두 수로 가르고, 두 수를 하나의 수로 모을 수 있다.","구체물을 이용하여 하나의 수를 두 수로 가르고, 두 수를 하나의 수로 모을 수 있다."
수학,1-2학년군,[2수01-05],수와 연산-두 자리 수 범위의 덧셈과 뺄셈,"덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 말하고, 그 상황을 덧셈식이나 뺄셈식으로 나타낼 수 있다.",실생활 상황을 덧셈식이나 뺄셈식으로 나타낼 수 있다.,"안내된 절차에 따라 덧셈이 이루어지는 상황을 덧셈식으로, 뺄셈이 이루어지는 상황을 뺄셈식으로 나타낼 수 있다."
수학,1-2학년군,[2수01-06],수와 연산-두 자리 수 범위의 덧셈과 뺄셈,"두 자리 수의 범위에서 덧셈과 뺄셈을 하고, 그 계산 원리를 말할 수 있다.","두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 두 자리 수의 범위에서 간단한 덧셈과 뺄셈을 할 수 있다.
수학,1-2학년군,[2수01-07],수와 연산-두 자리 수 범위의 덧셈과 뺄셈,"한 가지 상황을 덧셈식과 뺄셈식으로 나타내고, 그 상황과 연계해서 덧셈식과 뺄셈식의 관계를 말할 수 있다.",한 가지 상황을 덧셈식과 뺄셈식으로 나타낼 수 있다.,"안내된 절차에 따라 덧셈식을 뺄셈식으로, 뺄셈식을 덧셈식으로 나타낼 수 있다."
수학,1-2학년군,[2수01-08],수와 연산-두 자리 수 범위의 덧셈과 뺄셈,"두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 계산하고, 그 방법을 말할 수 있다.",두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 계산할 수 있다.,안내된 절차에 따라 두 자리 수의 범위에서 간단한 세 수의 덧셈과 뺄셈을 할 수 있다.
수학,1-2학년군,[2수01-09],수와 연산-두 자리 수 범위의 덧셈과 뺄셈,"실생활 상황을 □가 사용된 덧셈식과 뺄셈식으로 나타내며, □의 값을 구하고 그 방법을 말할 수 있다.","주어진 상황을 □가 사용된 덧셈식과 뺄셈식으로 나타내고, □의 값을 구할 수 있다.",안내된 절차에 따라 □가 사용된 간단한 덧셈식과 뺄셈식에서 □의 값을 구할 수 있다.
수학,1-2학년군,[2수01-10],수와 연산-한 자리 수의 곱셈,"곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 말하고, 그 상황을 곱셈식으로 나타낼 수 있다.",곱셈이 이루어지는 실생활 상황을 곱셈식으로 나타낼 수 있다.,안내된 절차에 따라 곱셈이 이루어지는 실생활 상황을 곱셈식으로 나타낼 수 있다.
수학,1-2학년군,[2수01-11],수와 연산-한 자리 수의 곱셈,"곱셈구구의 원리에 대한 이해를 바탕으로 한 자리 수의 곱셈을 하고, 곱셈구구를 유창하게 말할 수 있다.","곱셈구구의 원리에 대한 이해를 바탕으로 한 자리 수의 곱셈을 하고, 곱셈구구를 말할 수 있다.",안내된 절차에 따라 곱셈구구를 말할 수 있다.
수학,1-2학년군,[2수02-01],변화와 관계-규칙 찾기,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 말하고, 여러 가지 방법으로 표현할 수 있다.","물체, 무늬, 수 등의 배열에서 규칙을 찾아 말, 수, 그림, 구체물 등을 이용하여 표현할 수 있다.","안내된 절차에 따라 물체, 무늬, 수 등의 간단한 배열에서 규칙을 찾을 수 있다."
수학,1-2학년군,[2수02-02],변화와 관계-규칙 찾기,"여러 가지 규칙을 정하고, 그 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.","규칙을 정하고, 그 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.","주어진 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다."
수학,1-2학년군,[2수03-01],도형과 측정-입체도형의 모양,"주변 물건을 직육면체, 원기둥, 구의 모양으로 분류하여 특징을 말하고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주변 물건에서 직육면체, 원기둥, 구의 모양을 찾고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주어진 물건에서 직육면체, 원기둥, 구의 모양을 찾고, 그 모양들을 이용하여 간단한 모양을 만들 수 있다."
수학,1-2학년군,[2수03-02],도형과 측정-입체도형의 모양,"쌓기나무를 이용하여 다양한 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 여러 가지 방법으로 말할 수 있다.","쌓기나무를 이용하여 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.","안내된 절차에 따라 쌓기나무로 간단한 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다."
수학,1-2학년군,[2수03-03],도형과 측정-평면도형과 그 구성 요소,"주변 물건을 삼각형, 사각형, 원의 모양으로 분류하여 특징을 말하고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주변 물건에서 삼각형, 사각형, 원의 모양을 찾고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주어진 물건에서 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 간단한 모양을 만들 수 있다."
수학,1-2학년군,[2수03-05],도형과 측정-평면도형과 그 구성 요소,"삼각형 또는 사각형에서 각 도형의 여러 가지 공통점을 찾고, 이를 이용하여 주어진 도형이 삼각형 또는 사각형임을 말할 수 있다.",삼각형 또는 사각형에서 각 도형의 여러 가지 공통점을 찾아 말할 수 있다.,안내된 절차에 따라 삼각형 또는 사각형에서 각 도형의 공통점을 찾을 수 있다.
수학,1-2학년군,[2수03-07],도형과 측정-시각과 시간,"시계가 나타내는 여러 가지 시각을 ‘몇 시’, ‘몇 시 30분’, ‘몇 시 몇 분’ 등으로 읽고, 주어진 시각을 시계에 나타낼 수 있다.","시계가 나타내는 여러 가지 시각을 ‘몇 시’, ‘몇 시 30분’, ‘몇 시 몇 분’ 등으로 읽을 수 있다.","시계에서 짧은바늘은 ‘시’, 긴바늘은 ‘분’을 나타냄을 알고, 안내된 절차에 따라 간단한 시각을 읽을 수 있다."
수학,1-2학년군,[2수03-08],도형과 측정-시각과 시간,1시간과 1분의 관계를 이용하여 실생활 상황에서 시간을 ‘몇 시간 몇 분’과 ‘몇 분’으로 각각 나타낼 수 있다.,"1시간과 1분의 관계를 이용하여 ‘몇 시간 몇 분’을 ‘몇 분’으로, ‘몇 분’을 ‘몇 시간 몇 분’으로 나타낼 수 있다.","1시간이 60분임을 알고, 안내된 절차에 따라 ‘몇 시간’을 ‘몇 분’으로, ‘몇 분’을 ‘몇 시간’으로 나타낼 수 있다."
수학,1-2학년군,[2수03-10],도형과 측정-길이,"임의 단위와 표준 단위를 비교하여 표준 단위의 필요성을 말하고, 1cm 또는 1m의 단위로 여러 가지 물건의 길이를 측정하여 비교할 수 있다.","표준 단위의 필요성을 알고, 1cm 또는 1m의 단위로 여러 가지 물건의 길이를 측정할 수 있다.",안내된 절차에 따라 1cm 또는 1m의 단위로 주어진 사물의 길이를 측정할 수 있다.
